gains_matrix_rear1,gains_matrix_rear2,gains_matrix_rear3,gains_matrix_rear4,gains_matrix_rear5,gains_matrix_rear6
2138.4,1.25,0.0201445706888987,-0.00062297921373881,-0.82017668013886,-0.00453089964264954
2138.4,2.5,0.00567220550695102,-0.0012674236798709,-0.731493449332458,-0.00814018442600859
2138.4,5,-0.0175161846113988,-0.00287447189992287,-0.666890167157442,-0.0149997402612777
2138.4,7.5,-0.0368294408079828,-0.00491217674574558,-0.648647529935944,-0.0219951298916053
2138.4,10,-0.0477101767853483,-0.00728778396176656,-0.700725855709652,-0.0312062974962822
2138.4,12.5,-0.0458220507613356,-0.00820742957075078,-0.638612507459845,-0.0348368711872935
2138.4,15,-0.0305157768256527,-0.00657754326790392,-0.444237201392902,-0.0285270999155596
2138.4,17.5,-0.00996202968943658,-0.00268220054893233,-0.164657996977538,-0.0121722337848042
2138.4,20,-0.00616529794899016,-0.00186753898502388,-0.103652593303789,-0.00859685641781418
2138.4,22.5,-0.00494494953621216,-0.00163319734594277,-0.0829945386545543,-0.00759100610254836
2138.4,25,-0.00691045624706414,-0.00239917900996699,-0.112618206212102,-0.0111792434435569
2138.4,27.5,-0.00534943994567498,-0.00199627902883809,-0.0879260291136965,-0.00942093889249537
2138.4,30,-0.00368716407789254,-0.00147206425944118,-0.0613058246319798,-0.00704082905981128
2138.4,32.5,-0.00311876459903472,-0.00131611668720482,-0.0520029697159963,-0.00636292685155449
