gains_matrix_front1,gains_matrix_front2,gains_matrix_front3,gains_matrix_front4,gains_matrix_front5,gains_matrix_front6,gains_matrix_front7,gains_matrix_front8,gains_matrix_front9,gains_matrix_front10,gains_matrix_front11,gains_matrix_front12,gains_matrix_front13,gains_matrix_front14,gains_matrix_front15,gains_matrix_front16,gains_matrix_front17,gains_matrix_front18,gains_matrix_front19,gains_matrix_front20,gains_matrix_front21,gains_matrix_front22,gains_matrix_front23,gains_matrix_front24,gains_matrix_front25,gains_matrix_front26,gains_matrix_front27,gains_matrix_front28,gains_matrix_front29,gains_matrix_front30,gains_matrix_front31,gains_matrix_front32,gains_matrix_front33,gains_matrix_front34,gains_matrix_front35,gains_matrix_front36,gains_matrix_front37,gains_matrix_front38,gains_matrix_front39,gains_matrix_front40,gains_matrix_front41,gains_matrix_front42,gains_matrix_front43,gains_matrix_front44,gains_matrix_front45,gains_matrix_front46,gains_matrix_front47,gains_matrix_front48,gains_matrix_front49,gains_matrix_front50,gains_matrix_front51,gains_matrix_front52,gains_matrix_front53,gains_matrix_front54,gains_matrix_front55,gains_matrix_front56,gains_matrix_front57,gains_matrix_front58,gains_matrix_front59,gains_matrix_front60,gains_matrix_front61,gains_matrix_front62,gains_matrix_front63,gains_matrix_front64,gains_matrix_front65,gains_matrix_front66,gains_matrix_front67,gains_matrix_front68,gains_matrix_front69,gains_matrix_front70,gains_matrix_front71,gains_matrix_front72,gains_matrix_front73,gains_matrix_front74,gains_matrix_front75,gains_matrix_front76,gains_matrix_front77,gains_matrix_front78,gains_matrix_front79,gains_matrix_front80,gains_matrix_front81,gains_matrix_front82,gains_matrix_front83,gains_matrix_front84,gains_matrix_front85,gains_matrix_front86,gains_matrix_front87,gains_matrix_front88,gains_matrix_front89,gains_matrix_front90,gains_matrix_front91,gains_matrix_front92,gains_matrix_front93,gains_matrix_front94,gains_matrix_front95,gains_matrix_front96,gains_matrix_front97,gains_matrix_front98,gains_matrix_front99,gains_matrix_front100,gains_matrix_front101,gains_matrix_front102,gains_matrix_front103,gains_matrix_front104,gains_matrix_front105,gains_matrix_front106,gains_matrix_front107,gains_matrix_front108,gains_matrix_front109,gains_matrix_front110,gains_matrix_front111,gains_matrix_front112,gains_matrix_front113,gains_matrix_front114,gains_matrix_front115,gains_matrix_front116,gains_matrix_front117,gains_matrix_front118,gains_matrix_front119,gains_matrix_front120,gains_matrix_front121,gains_matrix_front122,gains_matrix_front123,gains_matrix_front124,gains_matrix_front125,gains_matrix_front126,gains_matrix_front127,gains_matrix_front128,gains_matrix_front129,gains_matrix_front130,gains_matrix_front131,gains_matrix_front132,gains_matrix_front133,gains_matrix_front134,gains_matrix_front135,gains_matrix_front136,gains_matrix_front137,gains_matrix_front138
7870,1.25,0.0992255243344586,0.628685264612971,0.00362903436403249,0.676930233041522,0.0228025839840864,0.193042712199898,0.0191745576154876,0.0190451524493943,0.0189160561598515,0.0187872692080602,0.0186587920794956,0.0185306252851836,0.0184027693630473,0.0182752248793201,0.0181479924300386,0.0180210726426085,0.0178944661774578,0.017768173729773,0.0176421960313308,0.0175165338524204,0.0173911880038745,0.0172661593391996,0.0171414487568254,0.0170170572024648,0.0168929856716083,0.0167692352121368,0.0166458069270865,0.016522701977544,0.016399921585708,0.0162774670380965,0.0161553396889368,0.0160335409637093,0.0159120723628876,0.0157909354658178,0.0156701319347592,0.0155496635189323,-0.0336806673880701,-0.0333576183053562,-0.0330361196212755,-0.0327161713362161,-0.0323977734497499,-0.0320809259623504,-0.0317656288734915,-0.0314518821837579,-0.031139685892501,-0.0308290400004413,-0.0305199445067771,-0.030212399412399,-0.0299064047163197,-0.0296019604196331,-0.0292990665211282,-0.0289977230221461,-0.0286979299211982,-0.0283996872199407,-0.0281029949165334,-0.0278078530130214,-0.0275142615071507,-0.0272222204014421,-0.0269317296931462,-0.0266427893854369,-0.0263553994750808,-0.026069559966341,-0.0257852708561009,-0.0255025321516397,-0.0252213438539345,-0.0249417059833701,-0.0246636185682201,-0.0243870816977603,-0.0241120955589503,-0.0238386606223888,-0.0235667772191114,-0.0232964458100743,-0.023027666692273,-0.0227604402385251,-0.0224947666674874,-0.0222306462420049,-0.0219680790837524,-0.0217070653348535,-0.0214476050075085,-0.021189698115293,-0.0209333445509736,-0.0206785441931069,-0.0204252968067705,-0.0201736021300926,-0.0199234597936014,-0.0196748693904992,-0.0194278304111474,-0.0191823423001575,-0.0189384044031907,-0.0186960160133555,-0.0184551763280442,-0.0182158844866523,-0.0179781395355785,-0.0177419404589211,-0.0175072861501193,-0.0172741754369594,-0.0170426070586232,-0.0168125796860858,-0.0165840919035667,-0.0163571422251949,-0.0161317290800467,-0.015907850825789,-0.0156855057366391,-0.0154646920145609,-0.0152454077796063,-0.0150276510791323,-0.0148114198800831,-0.0145967120766045,-0.0143835254839095,-0.0141718578445972,-0.0139617068238076,-0.013753070014494,-0.0135459449336293,-0.013340329026633,-0.0131362196644343,-0.0129336141472148,-0.0127325097021733,-0.012532903486713,-0.0123347925867786,-0.0121381740195974,-0.01194304473248,-0.0117494016052033,-0.011557241449187,-0.0113665610095877,-0.0111773569647852,-0.010989625928237,-0.0108033644482225,-0.010618569009499,-0.0104352360332552,-0.0102533618786179,-0.010072942842763,-0.00989397516230057,-0.00971645501352184,-0.0095403785136598,-0.00936574172132976,-0.009192540637608
7870,2.5,0.0988363766970689,0.48705155676106,0.0060330651467781,0.790595080598256,0.0433524892479628,0.321399143946745,0.0318309999369573,0.031523297753295,0.031216809294248,0.0309115360867193,0.0306074797379713,0.0303046419398535,0.030003024473252,0.029702629212773,0.0294034581316696,0.0291055133070285,0.0288087969252246,0.0285133112876602,0.0282190588168006,0.0279260420625194,0.0276342637087666,0.0273437265805729,0.0270544336514005,0.0267663880508496,0.0264795930727269,0.0261940521834778,0.0259097690309733,0.0256267474536375,0.0253449914898795,0.0250645053877745,0.0247852936149052,0.0245073608682261,0.0242307120837461,0.0239553524457329,0.0236812873950001,0.0234085226356512,-0.0796565484267405,-0.0786643997587802,-0.0776784283645545,-0.0766986342441433,-0.0757250173976573,-0.0747575778252552,-0.0737963155271624,-0.0728412305036929,-0.0718923227552995,-0.0709495922826112,-0.0700130390865282,-0.0690826631683156,-0.0681584645297686,-0.0672404431734285,-0.066328599102872,-0.0654229323231846,-0.0645234428415415,-0.0636301306680944,-0.0627429958171996,-0.0618620383091735,-0.0609872581727377,-0.0601186554485192,-0.0592562301939915,-0.0583999824904239,-0.0575499124527802,-0.0567060202436544,-0.0558683060930169,-0.0550367703261442,-0.0542114134030872,-0.0533922359745403,-0.0525792389607653,-0.0517724236621361,-0.0509717918946177,-0.0501773457903608,-0.0493890876155726,-0.0486070196321525,-0.0478311439925032,-0.047061462658442,-0.0462979773376582,-0.0455406894331513,-0.0447896000022153,-0.0440447097227258,-0.0433060188649526,-0.0425735272677057,-0.0418472343179279,-0.0411271389330799,-0.0404132395458512,-0.0397055340908343,-0.039004019992895,-0.0383086941570357,-0.0376195529595843,-0.0369365922405861,-0.036259807297287,-0.0355891928786219,-0.0349247431806342,-0.034266451842759,-0.0336143119449132,-0.0329683160053392,-0.0323284559791572,-0.0316947232575797,-0.0310671086677505,-0.0304456024731693,-0.0298301943746672,-0.0292208735119001,-0.028617628465329,-0.0280204472586585,-0.0274293173617038,-0.0268442256936622,-0.026265158626763,-0.0256921019902726,-0.0251250410748311,-0.0245639606371013,-0.0240088449047085,-0.0234596775814513,-0.0229164418527669,-0.0223791203914324,-0.0218476953634848,-0.021322148434347,-0.0208024607751413,-0.0202886130691784,-0.0197805855186086,-0.0192783578512216,-0.0187819093273823,-0.018291218747093,-0.0178062644571691,-0.0173270243585191,-0.016853475913518,-0.0163855961534664,-0.0159233616861242,-0.015466748703312,-0.0150157329885716,-0.0145702899248787,-0.0141303945023989,-0.0136960213262816,-0.0132671446244861,-0.0128437382556316,-0.012425775716858,-0.0120132301517326,-0.0116060743580739,-0.0112042807959977
7870,5,0.0982600085088919,0.394097419496004,0.0104491368729796,0.958835563995414,0.0870336884746564,0.555557124867933,0.0548062489276917,0.0540614050870694,0.0533211849601052,0.0525855927494505,0.0518546328756369,0.0511283099879383,0.0504066289756941,0.0496895949800979,0.0489772134064508,0.048269489936878,0.0475664305434971,0.0468680415020244,0.0461743294057931,0.0454853011801529,0.0448009640972027,0.0441213257907978,0.0434463942717546,0.0427761779431549,0.0421106856156261,0.0414499265224458,0.0407939103342825,0.040142647173339,0.039496147626622,0.0388544227579904,0.038217484118574,0.0375853437550616,0.0369580142152654,0.0363355085502456,0.0357178403121516,0.0351050235467829,-0.202835979018786,-0.199679106999754,-0.196546800409138,-0.193439059324846,-0.190355883839023,-0.187297274060651,-0.184263230118635,-0.181253752165432,-0.178268840381362,-0.175308494979704,-0.172372716212708,-0.169461504378728,-0.166574859830634,-0.163712782985791,-0.160875274337821,-0.158062334470553,-0.15527396407448,-0.152510163966233,-0.149770935111592,-0.14705627865266,-0.144366195939925,-0.141700688570043,-0.1390597584303,-0.136443407750654,-0.133851639164478,-0.13128445577865,-0.128741861253348,-0.126223859890575,-0.123730456727841,-0.121261657628483,-0.118817469350056,-0.116397899553433,-0.114002956679233,-0.111632649550454,-0.109286986988712,-0.106965977451574,-0.104669628693954,-0.102397947454181,-0.100150939164174,-0.0979286076827186,-0.0957309550504787,-0.0935579812655423,-0.0914096840780499,-0.0892860588028554,-0.0871870981488813,-0.0851127920642791,-0.0830631275962657,-0.0810380887647972,-0.0790376564492085,-0.0770618082870186,-0.0751105185841853,-0.0731837582361154,-0.0712814946587894,-0.0694036917294134,-0.0675503097360276,-0.0657213053355529,-0.0639166315197785,-0.0621362375888268,-0.0603800691316576,-0.0586480680131975,-0.0569401723677049,-0.0552563165979996,-0.0535964313802123,-0.0519604436737162,-0.0503482767359342,-0.0487598501417195,-0.0471950798070302,-0.0456538780166297,-0.0441361534555572,-0.0426418112441293,-0.0411707529762402,-0.0397228767607454,-0.0382980772657176,-0.0368962457653806,-0.0355172701895322,-0.0341610351752753,-0.0328274221208909,-0.0315163092416873,-0.0302275716276738,-0.0289610813029101,-0.0277167072863936,-0.0264943156543494,-0.0252937696037979,-0.0241149295172782,-0.0229576530286132,-0.0218217950896052,-0.0207072080375613,-0.0196137416635451,-0.0185412432812624,-0.0174895577964926,-0.0164585277769756,-0.0154479935226803,-0.0144577931363655,-0.0134877625943753,-0.0125377358175826,-0.0116075447424249,-0.0106970193919649,-0.0098059879469188,-0.00893427681659266,-0.00808171070967677
7870,7.5,0.0978269027930026,0.358467350398316,0.0145166380995167,1.08487421912527,0.132124831323908,0.770187122617313,0.075774229700653,0.074539459246368,0.07331440621372,0.0720990761754731,0.0708934749731199,0.0696976087279061,0.068511483852041,0.0673351070600512,0.0661684853802301,0.0650116261661238,0.0638645371079837,0.0627272262441031,0.0615997019719409,0.0604819730589184,0.0593740486527569,0.0582759382912013,0.0571876519109515,0.0561091998555954,0.0550405928823054,0.0539818421670253,0.0529329593078344,0.05189395632613,0.05086484566522,0.0498456401858593,0.0488363531582005,0.0478369982495593,0.0468475895073217,0.0458681413362248,0.0448986684691649,0.0439391859305796,-0.369012195416705,-0.362648881660163,-0.356340600042345,-0.350087351134875,-0.343889135581849,-0.337745954108999,-0.331657807534021,-0.325624696778192,-0.319646622879415,-0.313723587006936,-0.307855590477816,-0.30204263477548,-0.296284721570485,-0.290581852743789,-0.284934030412783,-0.279341256960311,-0.27380353506698,-0.268320867746944,-0.262893258387428,-0.257520710791982,-0.25220322922754,-0.246940818474925,-0.241733483882228,-0.236581231419851,-0.231484067735257,-0.226442000204271,-0.221455036974009,-0.216523186989972,-0.211646459996126,-0.206824866491569,-0.202058417619396,-0.197347124952608,-0.192691000125637,-0.188090054237295,-0.183544297241662,-0.179053737335683,-0.174618380350517,-0.170238229152244,-0.165913283056456,-0.161643537260286,-0.157428982294727,-0.153269603499462,-0.14916538052185,-0.145116286841392,-0.141122289320532,-0.137183347782397,-0.133299414615819,-0.129470434407751,-0.12569634360302,-0.121977070191186,-0.118312533420201,-0.114702643536378,-0.111147301550167,-0.107646399027116,-0.104199817903365,-0.100807430324954,-0.0974690985102104,-0.0941846746344512,-0.0909540007361971,-0.0877769086441149,-0.0846532199238748,-0.081582745844116,-0.078565287360719,-0.0756006351185803,-0.0726885694701068,-0.0698288605096411,-0.0670212681230611,-0.0642655420517971,-0.0615614219705325,-0.0589086375778703,-0.0563069086992656,-0.0537559454015421,-0.0512554481183294,-0.0488051077857786,-0.0464046059879313,-0.0440536151111395,-0.0417517985069475,-0.0394988106628739,-0.037294297380544,-0.0351378959606465,-0.0330292353942041,-0.0309679365596666,-0.0289536124253545,-0.0269858682567952,-0.0250643018285159,-0.0231885036398677,-0.0213580571344775,-0.0195725389229377,-0.0178315190083574,-0.0161345610144155,-0.0144812224155743,-0.0128710547691185,-0.0113036039487009,-0.00977841037909783,-0.00829500927187596,-0.00685293086169475,-0.00545170064298102,-0.00409083960670898,-0.00276986447705516,-0.00148828794772422
7870,10,0.0974877500969123,0.34019150225417,0.018184898214353,1.17998922900315,0.176182693117921,0.964059221017014,0.0946580653268638,0.0929260633433733,0.0912099194811623,0.0895096372027432,0.0878252201056578,0.0861566719245757,0.0845039965329715,0.0828671979443048,0.0812462803126114,0.0796412479324106,0.0780521052378125,0.0764788568007038,0.0749215073278678,0.0733800616568834,0.0718545247506262,0.0703449016901724,0.0688511976658883,0.0673734179664563,0.0659115679655675,0.0644656531059705,0.0630356788805439,0.061621650810012,0.0602235744168866,0.0588414551951755,0.0574752985753435,0.0561251098839645,0.0547908942974418,0.053472656789112,0.0521704020689843,0.0508841345152931,-0.580895778836134,-0.570294027397418,-0.559789771941394,-0.549383013333036,-0.539073752526669,-0.528861990574793,-0.518747728637633,-0.508730967993496,-0.498811710049908,-0.488989956355578,-0.479265708613114,-0.469638968692531,-0.460109738645358,-0.450678020719288,-0.441343817373109,-0.432107131291617,-0.422967965400078,-0.413926322877618,-0.404982207168722,-0.396135621991816,-0.387386571343306,-0.378735059495339,-0.370181090984636,-0.361724670589137,-0.353365803288153,-0.345104494200506,-0.336940748493402,-0.328874571252835,-0.320905967303533,-0.313034940963138,-0.305261495710934,-0.297585633745901,-0.290007355401763,-0.282526658377756,-0.27514353691353,-0.267857980922638,-0.260669975097317,-0.253579497995891,-0.246586521122663,-0.239691008009015,-0.232892913303244,-0.226192181875714,-0.219588747944932,-0.213082534229381,-0.206673451129175,-0.200361395940953,-0.194146252108838,-0.188027888513737,-0.182006158802825,-0.176080900760602,-0.170251935722549,-0.164519068032094,-0.1588820845413,-0.153340754155411,-0.147894827421211,-0.142544036158908,-0.137288093137118,-0.132126691790356,-0.127059505978332,-0.122086189786201,-0.117206377364887,-0.11241968281045,-0.107725700081457,-0.103124002953229,-0.0986141450078099,-0.0941956596584532,-0.0898680602074219,-0.0856308399358424,-0.0814834722243717,-0.0774254107034121,-0.0734560894316131,-0.0695749231013982,-0.0657813072702652,-0.0620746186166132,-0.0584542152188654,-0.0549194368566694,-0.0514696053329783,-0.0481040248158275,-0.0448219821986507,-0.0416227474779957,-0.0385055741475261,-0.035469699607217,-0.0325143455866821,-0.0296387185815887,-0.0268420103021516,-0.0241233981327108,-0.0214820456014431,-0.0189171028592639,-0.0164277071670179,-0.0140129833900786,-0.0116720444994976,-0.009403992078887,-0.00720791683622855,-0.00508289911983281,-0.0030280094377116,-0.00104230897963101,0.000875149858843843,0.00272532295099306,0.00450917391288482,0.00622767357732514
7870,12.5,0.0972177413221282,0.329295617309616,0.0214143993476261,1.2500885199543,0.217605356794973,1.13595114976264,0.111364701343651,0.109156736685196,0.106971218430836,0.104808143841793,0.102667509998296,0.100549313786317,0.0984535518832258,0.0963802207422688,0.0943293165757807,0.0923008353369979,0.0902947727003619,0.0883111240401721,0.0863498844074401,0.0844110485047836,0.0824946106591809,0.0806005647923929,0.0787289043888384,0.0768796224606905,0.0750527115099383,0.0732481634871354,0.0714659697465275,0.0697061209972277,0.0679686072500706,0.0662534177597431,0.0645605409617574,0.0628899644037799,0.0612416746707945,0.0596156573035217,0.0580118967094663,0.0564303760659014,-0.840718945482039,-0.824838965811394,-0.809110886977512,-0.793534708685432,-0.77811043059116,-0.762838052293183,-0.747717573322457,-0.732748993130627,-0.717932311076148,-0.703267526407891,-0.688754638245874,-0.674393645558434,-0.660184547135396,-0.646127341556354,-0.632222027153205,-0.61846860196599,-0.604867063690659,-0.591417409617436,-0.578119636557965,-0.564973740759273,-0.55197971780205,-0.539137562480439,-0.52644726865999,-0.513908829109645,-0.501522235303168,-0.489287477184297,-0.477204542889035,-0.465273418417172,-0.453494087243845,-0.441866529859926,-0.430390723228426,-0.419066640141321,-0.407894248458576,-0.396873510207784,-0.386004380564727,-0.375286806738216,-0.36472072677998,-0.354306068338435,-0.344042747372962,-0.333930666843632,-0.323969715389706,-0.314159766008561,-0.304500674745539,-0.294992279403816,-0.285634398282313,-0.276426828948651,-0.267369347053196,-0.258461705189387,-0.2497036318048,-0.241094830166679,-0.232634977385021,-0.224323723495784,-0.216160690606205,-0.208145472103798,-0.200277631930149,-0.192556703920282,-0.184982191207991,-0.177553565697258,-0.170270267599586,-0.163131705036841,-0.156137253708987,-0.149286256625871,-0.142578023902101,-0.136011832613836,-0.129586926716253,-0.123302517020273,-0.117157781227065,-0.111151864018752,-0.10528387720366,-0.0995528999144051,-0.0939579788570366,-0.0884981286094434,-0.0831723319671636,-0.0779795403347432,-0.0729186741607385,-0.0679886234144742,-0.063188248102645,-0.0585163788238469,-0.053971817359143,-0.0495533372967556,-0.0452596846890133,-0.0410895787396705,-0.037041712519751,-0.0331147537101074,-0.0293073453688481,-0.0256181067219223,-0.0220456339750307,-0.0185885011452266,-0.0152452609104603,-0.0120144454754458,-0.0088945674522321,-0.0058841207538793,-0.00298158149971723,-0.000185408930697984,0.00250595366674,0.00509407802945237,0.00758054998091376,0.00996696848924818,0.0122549447258071,0.0144461011426371
7870,15,0.0970000341030766,0.322103579297726,0.0242115969990828,1.30025578917195,0.255612565370015,1.28652079601056,0.125975337446665,0.123327634091186,0.120708958087397,0.118119297394716,0.115558639348614,0.113026970628452,0.110524277223637,0.108050544398026,0.10560575665245,0.10318989768528,0.10080295035091,0.0984448966160289,0.0961157175135684,0.0938153930941742,0.0915439023750535,0.0893012232860383,0.0870873326126876,0.0849022059362377,0.0827458175701962,0.0806181404933528,0.0785191462789661,0.0764488050198552,0.0744070852491093,0.0723939538560929,0.0704093759973958,0.0684533150023466,0.0665257322726599,0.0646265871757544,0.0627558369312225,0.060913436489878,-1.15016869379427,-1.12795685041844,-1.10596323419457,-1.08418784197491,-1.06263067020355,-1.04129171486596,-1.02017097143245,-0.999268434795002,-0.978584099196598,-0.958117958152344,-0.937870004361319,-0.9178402296082,-0.898028624653501,-0.878435179111139,-0.859059881311965,-0.839902718151663,-0.820963674921363,-0.802242735119025,-0.78373988023955,-0.765455089541311,-0.747388339786499,-0.72953960495266,-0.711908855912114,-0.694496060076045,-0.677301180999511,-0.660324177943104,-0.643565005387099,-0.627023612492728,-0.610699942505528,-0.594593932094588,-0.578705510621233,-0.563034599330084,-0.547581110454579,-0.53234494622853,-0.517325997695035,-0.502524143348115,-0.487939247638566,-0.47357115937243,-0.459419710027309,-0.445484712009298,-0.431765956870651,-0.418263213506368,-0.40497622634565,-0.391904713552673,-0.379048365249228,-0.366406841770552,-0.353979771964187,-0.341766751540575,-0.329767341482975,-0.317981066523305,-0.306407413689585,-0.295045830929864,-0.283895725816723,-0.272956464335809,-0.262227369761161,-0.251707721619624,-0.241396754746002,-0.231293658430238,-0.221397575657412,-0.211707602440976,-0.202222787249283,-0.192942130525153,-0.183864584297888,-0.174989051886936,-0.166314387696089,-0.157839397096937,-0.149562836400075,-0.14148341291237,-0.133599785078462,-0.125910562704499,-0.118414307261994,-0.11110953226957,-0.103994703750256,-0.0970682407619384,-0.0903285159984247,-0.0837738564586036,-0.0774025441810561,-0.0712128170414655,-0.0652028696101208,-0.059370854066788,-0.0537148811702229,-0.0482330212794994,-0.0429233054244845,-0.0377837264226065,-0.0328122400391812,-0.028006766188569,-0.0233651901734114,-0.0188853639592098,-0.0145651074816353,-0.0104022099837831,-0.00639443138089695,-0.00253950364983737,0.00116486775914289,0.00472100249088659,0.00813124383652858,0.0113979572698538,0.0145235289710705,0.0175103643412785,0.0203608864992703,0.0230775348156071
7870,17.5,0.0968222954706361,0.316986396725013,0.026613014481631,1.33495233115294,0.289993351807425,1.41765624410253,0.138684701099366,0.135639109820161,0.132628828858358,0.129653835416452,0.126714105562988,0.123809614179714,0.120940334906556,0.118106240084321,0.115307300695067,0.112543486300049,0.109814764975157,0.107121103243757,0.104462466006848,0.101838816470418,0.0992501160699218,0.0966963243917337,0.0941773990914841,0.0916932958091293,0.0892439680806219,0.086829367246021,0.0844494423538753,0.0821041400616877,0.0797934045322537,0.0775171773256423,0.0752753972865562,0.0730680004267848,0.0708949198024198,0.0687560853854655,0.0666514239294293,0.0645808588284211,-1.51053425241535,-1.48092063365145,-1.45160351119693,-1.42258287848127,-1.39385872791519,-1.36543105076694,-1.33729983702595,-1.30946507525275,-1.28192675241408,-1.25468485370188,-1.22773936233497,-1.2010902593419,-1.17473752332377,-1.14868113019534,-1.12292105290281,-1.09745726111685,-1.07228972089899,-1.0474183943396,-1.02284323916582,-0.998564208317353,-0.974581249488515,-0.950894304634343,-0.927503309439173,-0.904408192745606,-0.88160887594217,-0.859105272307958,-0.836897286312526,-0.814984812869759,-0.793367736544328,-0.77204593070983,-0.751019256657966,-0.730287562658406,-0.709850682969706,-0.689708436801934,-0.669860626972364,-0.650307038304582,-0.631047435816046,-0.612081562734307,-0.593409138377878,-0.575029855933763,-0.556943380160372,-0.539149345041353,-0.521647351413188,-0.504436964586866,-0.487517711981776,-0.470889080787911,-0.4545505156707,-0.438501416531144,-0.42274113633248,-0.407268979003224,-0.392084197425294,-0.37718599151475,-0.362573506401758,-0.348245830715403,-0.334201994978217,-0.320440970114442,-0.306961666075434,-0.293762930584907,-0.280843548006156,-0.268202238332842,-0.255837656304428,-0.243748390646894,-0.231932963438904,-0.220389829603239,-0.209117376522931,-0.198113923781162,-0.187377723023739,-0.17690695794262,-0.166699744378705,-0.156754130541892,-0.147068097346114,-0.137639558856939,-0.128466362849059,-0.119546291470841,-0.110877062012983,-0.102456327778141,-0.0942816790482625,-0.0863506441462949,-0.0786606905887591,-0.0712092263256767,-0.0639936010641529,-0.0570111076719916,-0.0502589836575314,-0.0437344127219195,-0.0374345263800125,-0.0313564056459499,-0.0254970827797662,-0.0198535430907172,-0.0144227267938758,-0.00920153091615217,-0.00418681124717558,0.000624615667908293,0.00523597049791591,0.00965050906127232,0.0138715202314547,0.0179023238158135,0.0217462684115339,0.0254067292415925,0.0288871059783684,0.0321908205599538
7870,20,0.0966753743894673,0.313133202184782,0.0286675622774122,1.35787143411515,0.320862323095347,1.53172403263587,0.149729768504946,0.146328303984276,0.142967977817979,0.139648756529336,0.136370604976645,0.133133486278767,0.129937361738041,0.126782190760513,0.123667930773435,0.120594537139989,0.117561963071186,0.114570159534897,0.111619075161968,0.108708656149373,0.105838846160349,0.103009586221466,0.100220814616572,0.0974724667775409,0.0947644751717672,0.092096769186314,0.0894692750086238,0.0868819155036895,0.0843346100875529,0.0818272745969917,0.0793598211552159,0.0769321580333785,0.0745441895076577,0.0721958157116371,0.069886932483653,0.0676174312087336,-1.92281080902552,-1.88470924998345,-1.84699444751291,-1.80966639306874,-1.77272507621022,-1.73617048436792,-1.70000260258947,-1.6642214132629,-1.62882689581622,-1.59381902639179,-1.55919777749414,-1.52496311760975,-1.49111501079746,-1.457653416248,-1.42457828781144,-1.39188957349121,-1.35958721490351,-1.3276711467008,-1.29614129595884,-1.26499758152597,-1.23423991333438,-1.20386819167286,-1.17388230642084,-1.14428213624421,-1.11506754775335,-1.08623839462445,-1.05779451668585,-1.02973573897158,-1.00206187074465,-0.974772704494298,-0.94786801491117,-0.921347557846024,-0.895211069258775,-0.869458264165331,-0.844088835152156,-0.819102450527186,-0.794498752168435,-0.770277353124735,-0.746437835017353,-0.722979745285736,-0.699902594316025,-0.677205852486745,-0.654888947162296,-0.632951259661658,-0.611392122226473,-0.590210815010386,-0.569406563108788,-0.548978533646154,-0.528925832936291,-0.509247503728922,-0.489942522554651,-0.471009797178885,-0.452448164173994,-0.434256386617871,-0.416433151926063,-0.398977069823563,-0.381886670461553,-0.365160402683612,-0.348796632445056,-0.332793641388484,-0.317149625577913,-0.301862694393281,-0.28693086958663,-0.272352084500571,-0.258124183449358,-0.244244921262414,-0.23071196298943,-0.2175228837662,-0.204675168839693,-0.192166213750441,-0.179993324670435,-0.168153718893592,-0.156644525476588,-0.145462786026637,-0.134605455633045,-0.124069403939329,-0.113851416351319,-0.103948195378542,-0.0943563621034896,-0.0850724577754859,-0.0760929455237102,-0.0674142121856064,-0.059032570245473,-0.0509442598784956,-0.0431454510947977,-0.0356322459799763,-0.0284006810246711,-0.0214467295386357,-0.0147663041488656,-0.00835525936534907,-0.00220939422222192,0.00367554502087791,0.00930386211556849,0.0146799080114881,0.0198080779934702,0.0246928087742039,0.0293385755518331,0.0337498890452096,0.0379312924252752,0.0418873583953865
7870,22.5,0.0965524604010531,0.310103808066232,0.0304254855972865,1.37193339480864,0.348491038325745,1.63110540436243,0.15934612019403,0.155628187001328,0.151956699977674,0.148331616149949,0.144752890358766,0.141220475161838,0.137734320734305,0.134294374765996,0.130900582355644,0.127552885902018,0.124251224992,0.120995536285598,0.1177857533979,0.11462180677799,0.111503623584818,0.108431127560056,0.105404238897941,0.102422874112094,0.0994869458993595,0.096596363000618,0.0937510300585748,0.0909508474725017,0.0881957112498953,0.0854855128549562,0.0828201390538342,0.0801994717565152,0.0776233878551781,0.0750917590588538,0.0726044517241065,0.0701613266814781,-2.38776640387237,-2.34007604793103,-2.29287475618601,-2.24616252196759,-2.19993933556278,-2.15420518383271,-2.10896004979919,-2.06420391219889,-2.01993674500386,-1.97615851690723,-1.93286919077242,-1.89006872304514,-1.84775706312686,-1.80593415270898,-1.76459992506699,-1.72375430431401,-1.6833972046135,-1.64352852935123,-1.60414817026658,-1.56525600654413,-1.52685190386646,-1.4889357134299,-1.451507270925,-1.41456639548496,-1.37811288860465,-1.34214653303503,-1.30666709165728,-1.27167430634275,-1.23716789680535,-1.20314755945427,-1.16961296625601,-1.1365637636161,-1.10399957129212,-1.07191998135127,-1.04032455654936,-1.00921282822146,-0.978584293764419,-0.948438413782751,-0.918774608961334,-0.889592256721226,-0.860890687708913,-0.832669182163515,-0.804926966201615,-0.777663208054971,-0.750877014292504,-0.7245674260545,-0.698733415323833,-0.67337388125635,-0.648487646590119,-0.624073454150986,-0.600129963470122,-0.576655747527298,-0.553649289632227,-0.531108980454824,-0.509033115213976,-0.487419891033272,-0.466267404471093,-0.445573649231476,-0.425336514061217,-0.405553780838002,-0.386223122853488,-0.367342103294456,-0.348908173924666,-0.330918673969327,-0.313370829203452,-0.296261751244761,-0.279588437051492,-0.263347768624683,-0.247536512914153,-0.232151321926678,-0.217188733035038,-0.202645169485608,-0.188516941101533,-0.174800245178978,-0.16149116757301,-0.148585683969312,-0.13607966133753,-0.123968859562153,-0.112248933246292,-0.100915433683213,-0.0899638109898494,-0.0793894163987889,-0.0691875046999072,-0.0593532368287918,-0.0498816825941889,-0.0407678235384615,-0.0320065559251478,-0.0235926938448116,-0.0155209724367724,-0.00778605121608786,-0.000382517500319768,0.00669511007086784,0.0134523779307572,0.0198948939013884,0.0260283234372759,0.031858385806995,0.0373908501873594,0.0426315318738434,0.0475862882491053,0.0522610150392837
