gains_matrix_rear1,gains_matrix_rear2,gains_matrix_rear3,gains_matrix_rear4,gains_matrix_rear5,gains_matrix_rear6,gains_matrix_rear7
2138.4,1.25,-0.117134959281927,-0.0537214282828685,-0.484984238638059,-0.260310294895918,0.327070528246498
2138.4,2.5,-0.104613721211652,-0.033388294519625,-0.492638083269052,-0.169170187226302,0.0543910594273511
2138.4,5,-0.0933708722450023,-0.0226665795357035,-0.397605436576257,-0.118604134020745,-0.0285908625473035
2138.4,7.5,-0.0814648277254928,-0.0181718970163083,-0.295041343877798,-0.0960641783055013,-0.0437636961270741
2138.4,10,-0.0712496684267859,-0.0159016646784345,-0.257182581475784,-0.0838568475703269,-0.0512015172125897
2138.4,12.5,-0.0520459326542194,-0.0112735694123096,-0.146782396181506,-0.0601553462205013,-0.0375588683656367
2138.4,15,-0.027468853077003,-0.00573632906288306,-0.053675523466601,-0.0311295470128434,-0.0182676502048131
2138.4,17.5,-0.00943435546567233,-0.00219096293078461,-0.0188794144030567,-0.0122608350630874,-0.00611009486507473
2138.4,20,-0.00576553174994709,-0.00139418032500515,-0.0100592424680804,-0.00796501300377184,-0.00352140471837042
2138.4,22.5,-0.00443186347616382,-0.00112598441852366,-0.00779499406796568,-0.00650208133424317,-0.00277908811139884
2138.4,25,-0.00987849891810322,-0.00309194101496692,-0.0194291478594059,-0.0187136732143074,-0.00512311653849937
2138.4,27.5,-0.0086049512163875,-0.00298415289945912,-0.017801268569557,-0.0183749762012764,-0.00426263694132205
2138.4,30,-0.00735769642950405,-0.00296440330489562,-0.0166024743403229,-0.0186230459565456,-0.00333636750761169
2138.4,32.5,-0.00646733847626624,-0.00285101137638763,-0.0152834961578072,-0.018097848773727,-0.00287129185577158
