gains_matrix_rear1,gains_matrix_rear2,gains_matrix_rear3,gains_matrix_rear4,gains_matrix_rear5,gains_matrix_rear6,gains_matrix_rear7
2138.4,1.25,-0.117134959281927,-0.0537214282828685,-0.484984238638059,-0.260310294895918,0.327070528246498
2138.4,2.5,-0.104613721211652,-0.033388294519625,-0.492638083269052,-0.169170187226302,0.0543910594273511
2138.4,5,-0.0933708722450023,-0.0226665795357035,-0.397605436576257,-0.118604134020745,-0.0285908625473035
2138.4,7.5,-0.0814648277254928,-0.0181718970163083,-0.295041343877798,-0.0960641783055013,-0.0437636961270741
2138.4,10,-0.0712496684267859,-0.0159016646784345,-0.257182581475784,-0.0838568475703269,-0.0512015172125897
2138.4,12.5,-0.0520459326542194,-0.0112735694123096,-0.146782396181506,-0.0601553462205013,-0.0375588683656367
2138.4,15,-0.0254946394945171,-0.0057874030811286,-0.0499717149789871,-0.0414426097568572,-0.0160697731160779
2138.4,17.5,-0.00862238867274583,-0.00223746124099255,-0.0173475060428591,-0.0177202143010604,-0.0052124880685224
2138.4,20,-0.0054011914831319,-0.00142971656276022,-0.00947882442429387,-0.0108572145861397,-0.00314222283876608
2138.4,22.5,-0.00391649498305534,-0.00117340943351043,-0.00697442840383697,-0.0111839597601884,-0.00222742707543334
2138.4,25,-0.00946000913037611,-0.00328371034131413,-0.0186844816533897,-0.0254935409242936,-0.00477220981214236
2138.4,27.5,-0.00837171767740158,-0.00314679645898342,-0.0173673564870378,-0.0232300192004453,-0.00409694489885179
2138.4,30,-0.00724851404733399,-0.00309431161003961,-0.0163786653752448,-0.0218191755576591,-0.00327786206814201
2138.4,32.5,-0.00640059818688155,-0.00295535147109942,-0.0151402509787457,-0.0204885616906315,-0.00284522196145234
